region,listing_no,listing_title,image_file,image_no,page,width,height,caption,extracted
Borders & Northumbria,2,"BLUE POOLS, GLEN ROSA",borders_northumbria_listing_02_1.jpg,1,163,874,547,,copied
Borders & Northumbria,15,LOCH TROOL,borders_northumbria_listing_15_1.jpg,1,163,874,547,,copied
Borders & Northumbria,23,GREY MARE’S TAIL,borders_northumbria_listing_23_1.jpg,1,164,285,263,,copied
Borders & Northumbria,25,"THE DOOKITS, PEEBLES",borders_northumbria_listing_25_1.jpg,1,162,285,207,,copied
Borders & Northumbria,25,"THE DOOKITS, PEEBLES",borders_northumbria_listing_25_2.jpg,2,164,581,542,,copied
Borders & Northumbria,25,"THE DOOKITS, PEEBLES",borders_northumbria_listing_25_3.jpg,3,164,284,263,,copied
Borders & Northumbria,29,"TWIZEL BRIDGE, R TILL",borders_northumbria_listing_29_1.jpg,1,162,284,204,,copied
Borders & Northumbria,29,"TWIZEL BRIDGE, R TILL",borders_northumbria_listing_29_2.jpg,2,164,874,546,,copied
Borders & Northumbria,33,"HETHPOOL LINN, COLLEGE BURN",borders_northumbria_listing_33_1.jpg,1,165,577,546,,copied
Borders & Northumbria,35,"HARTHOPE LINN, HARTHOPE BURN",borders_northumbria_listing_35_1.jpg,1,162,280,386,,copied
Borders & Northumbria,35,"HARTHOPE LINN, HARTHOPE BURN",borders_northumbria_listing_35_2.jpg,2,165,874,546,,copied
Borders & Northumbria,35,"HARTHOPE LINN, HARTHOPE BURN",borders_northumbria_listing_35_3.jpg,3,165,284,263,,copied
Borders & Northumbria,36,"LINHOPE SPOUT, LINHOPE BURN",borders_northumbria_listing_36_1.jpg,1,162,284,204,,copied
Borders & Northumbria,36,"LINHOPE SPOUT, LINHOPE BURN",borders_northumbria_listing_36_2.jpg,2,162,284,204,,copied
Borders & Northumbria,36,"LINHOPE SPOUT, LINHOPE BURN",borders_northumbria_listing_36_3.jpg,3,165,581,542,,copied
Borders & Northumbria,38,"IRVING POOL, R COQUET",borders_northumbria_listing_38_1.jpg,1,160,1933,1196,,copied
Borders & Northumbria,44,"WARKWORTH HERMITAGE, R COQUET",borders_northumbria_listing_44_1.jpg,1,166,581,542,,copied
Borders & Northumbria,45,"LESBURY WEIR, R ALN",borders_northumbria_listing_45_1.jpg,1,166,874,546,,copied
Borders & Northumbria,45,"LESBURY WEIR, R ALN",borders_northumbria_listing_45_2.jpg,2,166,285,263,,copied
Borders & Northumbria,49,WANSBECK RIVERSIDE PARK,borders_northumbria_listing_49_1.jpg,1,166,285,262,,copied
Cairngorms & River Dee,2,"DULSIE BRIDGE, R FINDHORN",cairngorms_river_dee_listing_02_1.jpg,1,175,284,204,,copied
Cairngorms & River Dee,2,"DULSIE BRIDGE, R FINDHORN",cairngorms_river_dee_listing_02_2.jpg,2,175,280,209,,copied
Cairngorms & River Dee,2,"DULSIE BRIDGE, R FINDHORN",cairngorms_river_dee_listing_02_3.jpg,3,176,874,546,,copied
Cairngorms & River Dee,3,"RANDOLPH’S LEAP, R FINDHORN",cairngorms_river_dee_listing_03_1.jpg,1,176,284,263,,copied
Cairngorms & River Dee,7,"FESHIEBRIDGE, KINCRAIG",cairngorms_river_dee_listing_07_1.jpg,1,177,284,263,,copied
Cairngorms & River Dee,8,"LOCH AN EILEIN, ROTHIEMURCHUS",cairngorms_river_dee_listing_08_1.jpg,1,175,284,204,,copied
Cairngorms & River Dee,8,"LOCH AN EILEIN, ROTHIEMURCHUS",cairngorms_river_dee_listing_08_2.jpg,2,177,581,542,,copied
Cairngorms & River Dee,15,"EIDART FALLS, GLEN FESHIE",cairngorms_river_dee_listing_15_1.jpg,1,175,284,205,,copied
Cairngorms & River Dee,15,"EIDART FALLS, GLEN FESHIE",cairngorms_river_dee_listing_15_2.jpg,2,175,284,204,,copied
Cairngorms & River Dee,16,OLD CRAIGELLACHIE BRIDGE,cairngorms_river_dee_listing_16_1.jpg,1,177,600,566,,copied
Cairngorms & River Dee,17,"LINN FALLS, ABERLOUR",cairngorms_river_dee_listing_17_1.jpg,1,177,280,267,,copied
Cairngorms & River Dee,17,"LINN FALLS, ABERLOUR",cairngorms_river_dee_listing_17_2.jpg,2,178,581,542,,copied
Cairngorms & River Dee,18,"LINN OF DEE, BRAEMAR",cairngorms_river_dee_listing_18_1.jpg,1,175,284,204,,copied
Cairngorms & River Dee,19,"LINN OF QUOICH, R DEE",cairngorms_river_dee_listing_19_1.jpg,1,178,283,263,,copied
Cairngorms & River Dee,20,"CAMBUS O’ MAY BRIDGE, DEE",cairngorms_river_dee_listing_20_1.jpg,1,173,1933,1195,,copied
Cairngorms & River Dee,21,LOCH KINORD & BURN O’ VAT,cairngorms_river_dee_listing_21_1.jpg,1,176,284,204,,copied
Cairngorms & River Dee,30,"PATTACK FALLS, STRATHMASHIE",cairngorms_river_dee_listing_30_1.jpg,1,178,581,542,,copied
Cairngorms & River Dee,34,"SOLDIER’S LEAP, KILLIECRANKIE",cairngorms_river_dee_listing_34_1.jpg,1,176,284,204,,copied
Cairngorms & River Dee,34,"SOLDIER’S LEAP, KILLIECRANKIE",cairngorms_river_dee_listing_34_2.jpg,2,178,284,263,,copied
Cambrians To The Marches,2,"CWM CLETWR, TRE’R-DDÔL",cambrians_to_the_marches_listing_02_1.jpg,1,103,284,263,,copied
Cambrians To The Marches,4,NANT-Y-MOCH & PLYNLIMON,cambrians_to_the_marches_listing_04_1.jpg,1,103,284,262,,copied
Cambrians To The Marches,6,CWM RHEIDOL WATERFALLS,cambrians_to_the_marches_listing_06_1.jpg,1,103,581,542,,copied
Cambrians To The Marches,7,"CWM YSTWYTH, HAFOD ESTATE",cambrians_to_the_marches_listing_07_1.jpg,1,104,284,263,,copied
Cambrians To The Marches,8,YSTWYTH LOWER GORGE,cambrians_to_the_marches_listing_08_1.jpg,1,104,285,265,,copied
Cambrians To The Marches,9,"LLYN EGNANT, TEIFI POOLS",cambrians_to_the_marches_listing_09_1.jpg,1,104,581,542,,copied
Cambrians To The Marches,10,"WOLF’S LEAP, RIVER IRFON",cambrians_to_the_marches_listing_10_1.jpg,1,102,284,204,,copied
Cambrians To The Marches,10,"WOLF’S LEAP, RIVER IRFON",cambrians_to_the_marches_listing_10_2.jpg,2,102,284,205,,copied
Cambrians To The Marches,10,"WOLF’S LEAP, RIVER IRFON",cambrians_to_the_marches_listing_10_3.jpg,3,104,280,267,,copied
Cambrians To The Marches,11,"WASHPOOL/PWLL BO, RIVER IRFON",cambrians_to_the_marches_listing_11_1.jpg,1,104,581,542,,copied
Cambrians To The Marches,13,DYLIFE POOL & FFRWD FAWR,cambrians_to_the_marches_listing_13_1.jpg,1,104,284,263,,copied
Cambrians To The Marches,15,"LLANDINAM GRAVELS, RIVER SEVERN",cambrians_to_the_marches_listing_15_1.jpg,1,105,284,263,,copied
Cambrians To The Marches,17,"RHYDWHYMAN, CAERHOWEL",cambrians_to_the_marches_listing_17_1.jpg,1,105,285,263,,copied
Cambrians To The Marches,19,"PONT MARTEG, RIVER WYE",cambrians_to_the_marches_listing_19_1.jpg,1,105,874,546,,copied
Cambrians To The Marches,21,"ELAN JUNCTION POOL, RIVER WYE",cambrians_to_the_marches_listing_21_1.jpg,1,103,280,251,,copied
Cambrians To The Marches,21,"ELAN JUNCTION POOL, RIVER WYE",cambrians_to_the_marches_listing_21_2.jpg,2,105,284,263,,copied
Cambrians To The Marches,22,CLAERWEN & RHINWNANT VALLEYS,cambrians_to_the_marches_listing_22_1.jpg,1,103,280,209,,copied
Cambrians To The Marches,23,"ALPINE BRIDGE, RIVER ITHON",cambrians_to_the_marches_listing_23_1.jpg,1,105,284,263,,copied
Cambrians To The Marches,24,"PEN-DDÔL ROCKS, RIVER WYE",cambrians_to_the_marches_listing_24_1.jpg,1,100,1933,1196,,copied
Cambrians To The Marches,25,RIVER EDW WEIR,cambrians_to_the_marches_listing_25_1.jpg,1,105,581,542,,copied
Cambrians To The Marches,26,"FARMERS' WELSH LAVENDER, BUILTH",cambrians_to_the_marches_listing_26_1.jpg,1,106,285,263,,copied
Cambrians To The Marches,27,"ERWOOD BRIDGE SLIPWAY, RIVER WYE",cambrians_to_the_marches_listing_27_1.jpg,1,106,285,263,,copied
Cambrians To The Marches,29,"THE WARREN, HAY-ON-WYE",cambrians_to_the_marches_listing_29_1.jpg,1,103,284,204,,copied
Cambrians To The Marches,29,"THE WARREN, HAY-ON-WYE",cambrians_to_the_marches_listing_29_2.jpg,2,106,874,547,,copied
Cambrians To The Marches,30,CARDING MILL & LIGHTSPOUT FALLS,cambrians_to_the_marches_listing_30_1.jpg,1,106,285,263,,copied
Cambrians To The Marches,30,CARDING MILL & LIGHTSPOUT FALLS,cambrians_to_the_marches_listing_30_2.jpg,2,106,280,267,,copied
Cambrians To The Marches,33,CLUN CASTLE,cambrians_to_the_marches_listing_33_1.jpg,1,106,284,263,,copied
Cambrians To The Marches,34,"WESTON, RIVER TEME",cambrians_to_the_marches_listing_34_1.jpg,1,106,284,263,,copied
Cambrians To The Marches,35,"PARSON’S POLE BRIDGE, RIVER TEME",cambrians_to_the_marches_listing_35_1.jpg,1,106,581,542,,copied
Cambrians To The Marches,36,"LEINTWARDINE, RIVER TEME",cambrians_to_the_marches_listing_36_1.jpg,1,107,284,263,,copied
Cambrians To The Marches,39,LUDLOW & ASHFORD CARBONELL,cambrians_to_the_marches_listing_39_1.jpg,1,107,284,263,,copied
Cambrians To The Marches,40,"DOLLEY OLD BRIDGE, RIVER LUGG",cambrians_to_the_marches_listing_40_1.jpg,1,102,284,204,,copied
Cambrians To The Marches,41,"STAUNTON ON ARROW, RIVER ARROW",cambrians_to_the_marches_listing_41_1.jpg,1,107,282,263,,copied
Cambrians To The Marches,43,"MORTIMER’S CROSS, RIVER LUGG",cambrians_to_the_marches_listing_43_1.jpg,1,107,284,263,,copied
Cambrians To The Marches,45,"EYTON, RIVER LUGG",cambrians_to_the_marches_listing_45_1.jpg,1,102,284,205,,copied
Cambrians To The Marches,45,"EYTON, RIVER LUGG",cambrians_to_the_marches_listing_45_2.jpg,2,107,581,541,,copied
Cambrians To The Marches,48,RIVER LUGG & BODENHAM LAKE,cambrians_to_the_marches_listing_48_1.jpg,1,107,284,265,,copied
Cambrians To The Marches,49,"LUGG MEADOWS, HEREFORD",cambrians_to_the_marches_listing_49_1.jpg,1,102,284,205,,copied
Cornwall,1,BAKER’S PIT LAKE & FOLLY,cornwall_listing_01_1.jpg,1,19,582,542,,copied
Cornwall,3,CARN MARTH POOL & THEATRE,cornwall_listing_03_1.jpg,1,19,284,263,,copied
Cornwall,5,"TREMAYNE QUAY, HELFORD",cornwall_listing_05_1.jpg,1,19,284,263,,copied
Cornwall,7,KENNALL VALE NATURE RESERVE,cornwall_listing_07_1.jpg,1,19,284,265,,copied
Cornwall,8,ROUNDWOOD QUAY & HILLFORT,cornwall_listing_08_1.jpg,1,19,285,265,,copied
Cornwall,9,BURNGULLOW COMMON LAKE,cornwall_listing_09_1.jpg,1,19,284,263,,copied
Cornwall,10,"CARN GREY ROCK & LAKE, TRETHURGY",cornwall_listing_10_1.jpg,1,19,284,262,,copied
Cornwall,11,"COULSON PARK, LOSTWITHIEL",cornwall_listing_11_1.jpg,1,19,285,263,,copied
Cornwall,12,"RED MOOR LAKE, TREDINNICK PITS",cornwall_listing_12_1.jpg,1,20,284,263,,copied
Cornwall,13,RESPRYN BRIDGE DOWNSTREAM,cornwall_listing_13_1.jpg,1,18,284,204,,copied
Cornwall,14,RESPRYN BRIDGE UPSTREAM,cornwall_listing_14_1.jpg,1,18,284,204,,copied
Cornwall,14,RESPRYN BRIDGE UPSTREAM,cornwall_listing_14_2.jpg,2,19,581,546,,copied
Cornwall,18,"DELPHY POOL, BODMIN",cornwall_listing_18_1.jpg,1,20,280,267,,copied
Cornwall,19,"DELFORD/DELPHI BRIDGE, DE LANK",cornwall_listing_19_1.jpg,1,20,284,263,,copied
Cornwall,20,CARBILLY QUARRY POOLS,cornwall_listing_20_1.jpg,1,20,581,543,,copied
Cornwall,24,"GOLITHA FALLS, REDGATE",cornwall_listing_24_1.jpg,1,18,280,209,,copied
Cornwall,24,"GOLITHA FALLS, REDGATE",cornwall_listing_24_2.jpg,2,18,284,204,,copied
Cornwall,24,"GOLITHA FALLS, REDGATE",cornwall_listing_24_3.jpg,3,20,581,542,,copied
Cornwall,25,"GOLDIGGINS QUARRY, MINIONS",cornwall_listing_25_1.jpg,1,20,284,263,,copied
Cornwall,26,"THE PONY POOL, MINIONS",cornwall_listing_26_1.jpg,1,21,581,542,,copied
Cornwall,27,CARADON HILL POOL & RUINS,cornwall_listing_27_1.jpg,1,21,284,265,,copied
Cornwall,27,CARADON HILL POOL & RUINS,cornwall_listing_27_2.jpg,2,21,285,265,,copied
Cornwall,28,"ROCKY VALLEY, TINTAGEL",cornwall_listing_28_1.jpg,1,21,280,267,,copied
Cornwall,29,"ST NECTAN’S KIEVE, TINTAGEL",cornwall_listing_29_1.jpg,1,18,284,209,,copied
Cornwall,29,"ST NECTAN’S KIEVE, TINTAGEL",cornwall_listing_29_2.jpg,2,21,577,546,,copied
Cornwall,30,CORNISH TIPI HOLIDAYS,cornwall_listing_30_1.jpg,1,18,285,209,,copied
Cornwall,31,KIT HILL QUARRY,cornwall_listing_31_1.jpg,1,21,582,541,,copied
Cornwall,32,"COTEHELE, R TAMAR",cornwall_listing_32_1.jpg,1,21,284,263,,copied
Cornwall,34,ROADFORD LAKE,cornwall_listing_34_1.jpg,1,21,284,263,,copied
Dartmoor & South Devon,1,"WIDGERY CROSS, R LYD",dartmoor_south_devon_listing_01_1.jpg,1,24,284,204,,copied
Dartmoor & South Devon,2,"TUCKER’S POOL, R LYD",dartmoor_south_devon_listing_02_1.jpg,1,24,284,204,,copied
Dartmoor & South Devon,2,"TUCKER’S POOL, R LYD",dartmoor_south_devon_listing_02_2.jpg,2,24,280,209,,copied
Dartmoor & South Devon,3,"TAVY CLEAVE, R TAVY",dartmoor_south_devon_listing_03_1.jpg,1,25,284,263,,copied
Dartmoor & South Devon,5,FOGGINTOR QUARRY & SWELLTOR,dartmoor_south_devon_listing_05_1.jpg,1,25,874,546,,copied
Dartmoor & South Devon,6,CRAZY WELL POOL,dartmoor_south_devon_listing_06_1.jpg,1,26,284,265,,copied
Dartmoor & South Devon,8,"DOUBLE WATERS, R TAVY",dartmoor_south_devon_listing_08_1.jpg,1,26,284,263,,copied
Dartmoor & South Devon,9,"DENHAM BRIDGE, R TAVY",dartmoor_south_devon_listing_09_1.jpg,1,26,581,543,,copied
Dartmoor & South Devon,9,"DENHAM BRIDGE, R TAVY",dartmoor_south_devon_listing_09_2.jpg,2,26,285,263,,copied
Dartmoor & South Devon,10,"SHAVERCOMBE WATERFALL, R PLYM",dartmoor_south_devon_listing_10_1.jpg,1,26,280,267,,copied
Dartmoor & South Devon,11,"CADOVER BRIDGE, R PLYM",dartmoor_south_devon_listing_11_1.jpg,1,26,581,542,,copied
Dartmoor & South Devon,11,"CADOVER BRIDGE, R PLYM",dartmoor_south_devon_listing_11_2.jpg,2,26,284,263,,copied
Dartmoor & South Devon,12,"BIG POND, CADOVER BRIDGE",dartmoor_south_devon_listing_12_1.jpg,1,26,284,263,,copied
Dartmoor & South Devon,15,"PILES COPSE, R ERME",dartmoor_south_devon_listing_15_1.jpg,1,22,1932,1196,,copied
Dartmoor & South Devon,15,"PILES COPSE, R ERME",dartmoor_south_devon_listing_15_2.jpg,2,26,284,263,,copied
Dartmoor & South Devon,16,LEFTLAKE MIRES POOL,dartmoor_south_devon_listing_16_1.jpg,1,27,284,263,,copied
Dartmoor & South Devon,17,"RED LAKE, HUNTINGDON WARREN",dartmoor_south_devon_listing_17_1.jpg,1,27,285,263,,copied
Dartmoor & South Devon,19,"TOPSHAM BRIDGE, AVON",dartmoor_south_devon_listing_19_1.jpg,1,27,581,542,,copied
Dartmoor & South Devon,19,"TOPSHAM BRIDGE, AVON",dartmoor_south_devon_listing_19_2.jpg,2,27,284,263,,copied
Dartmoor & South Devon,23,"STAVERTON & STILLPOOL, R DART",dartmoor_south_devon_listing_23_1.jpg,1,27,280,267,,copied
Dartmoor & South Devon,24,"HEMBURY WOODS, R DART",dartmoor_south_devon_listing_24_1.jpg,1,27,284,263,,copied
Dartmoor & South Devon,24,"HEMBURY WOODS, R DART",dartmoor_south_devon_listing_24_2.jpg,2,27,284,263,,copied
Dartmoor & South Devon,25,"LOVER’S LEAP, NEW BRIDGE",dartmoor_south_devon_listing_25_1.jpg,1,27,581,542,,copied
Dartmoor & South Devon,26,"SPITCHWICK COMMON, NEWBRIDGE",dartmoor_south_devon_listing_26_1.jpg,1,27,284,263,,copied
Dartmoor & South Devon,27,"HORSESHOE FALLS, R DART",dartmoor_south_devon_listing_27_1.jpg,1,28,284,263,,copied
Dartmoor & South Devon,28,"WELLSFOOT ISLAND, NEW BRIDGE",dartmoor_south_devon_listing_28_1.jpg,1,28,280,267,,copied
Dartmoor & South Devon,29,"BELL POOL, R DART",dartmoor_south_devon_listing_29_1.jpg,1,24,284,204,,copied
Dartmoor & South Devon,29,"BELL POOL, R DART",dartmoor_south_devon_listing_29_2.jpg,2,24,284,204,,copied
Dartmoor & South Devon,29,"BELL POOL, R DART",dartmoor_south_devon_listing_29_3.jpg,3,28,581,542,,copied
Dartmoor & South Devon,29,"BELL POOL, R DART",dartmoor_south_devon_listing_29_4.jpg,4,28,284,265,,copied
Dartmoor & South Devon,30,"SHARRAH POOL, R DART",dartmoor_south_devon_listing_30_1.jpg,1,24,284,207,,copied
Dartmoor & South Devon,30,"SHARRAH POOL, R DART",dartmoor_south_devon_listing_30_2.jpg,2,28,284,263,,copied
Dartmoor & South Devon,31,HEXWORTHY BRIDGE & WEEK FORD,dartmoor_south_devon_listing_31_1.jpg,1,28,284,263,,copied
Dartmoor & South Devon,32,"SWINCOMBE MEET, WEST DART",dartmoor_south_devon_listing_32_1.jpg,1,28,581,543,,copied
Dartmoor & South Devon,34,EAST DART WATERFALL & SANDY HOLE,dartmoor_south_devon_listing_34_1.jpg,1,28,280,267,,copied
Dartmoor & South Devon,36,BECKA BROOK LAKES,dartmoor_south_devon_listing_36_1.jpg,1,28,285,263,,copied
Dartmoor & South Devon,37,HAYTOR QUARRY,dartmoor_south_devon_listing_37_1.jpg,1,29,581,542,,copied
Dartmoor & South Devon,38,"SHILLEY POOL, THROWLEIGH",dartmoor_south_devon_listing_38_1.jpg,1,29,581,542,,copied
Dartmoor & South Devon,39,"SCORHILL DOWN, R TEIGN",dartmoor_south_devon_listing_39_1.jpg,1,29,285,267,,copied
Dartmoor & South Devon,40,CHAGFORD SWIMMING POOL,dartmoor_south_devon_listing_40_1.jpg,1,25,281,207,,copied
Dartmoor & South Devon,41,"SALMON LEAPS, R TEIGN",dartmoor_south_devon_listing_41_1.jpg,1,25,284,204,,copied
Dartmoor & South Devon,41,"SALMON LEAPS, R TEIGN",dartmoor_south_devon_listing_41_2.jpg,2,29,284,263,,copied
Dartmoor & South Devon,41,"SALMON LEAPS, R TEIGN",dartmoor_south_devon_listing_41_3.jpg,3,29,284,263,,copied
Dartmoor & South Devon,42,"FINGLE BRIDGE, TEIGN",dartmoor_south_devon_listing_42_1.jpg,1,25,284,204,,copied
Dartmoor & South Devon,42,"FINGLE BRIDGE, TEIGN",dartmoor_south_devon_listing_42_2.jpg,2,29,285,263,,copied
Dartmoor & South Devon,43,TOPSHAM &TURF LOCK,dartmoor_south_devon_listing_43_1.jpg,1,29,285,263,,copied
Dartmoor & South Devon,43,TOPSHAM &TURF LOCK,dartmoor_south_devon_listing_43_2.jpg,2,29,285,263,,copied
Dartmoor & South Devon,46,"COLATON RALEIGH, R OTTER",dartmoor_south_devon_listing_46_1.jpg,1,29,284,263,,copied
Dartmoor & South Devon,47,"FLUXTON WEIR, TIPTON, R OTTER,",dartmoor_south_devon_listing_47_1.jpg,1,29,285,263,,copied
"Dorset, Wilts & South Somerset",5,"PARCHEY BRIDGE, CHEDZOY",dorset_wilts_south_somerset_listing_05_1.jpg,1,39,874,547,,copied
"Dorset, Wilts & South Somerset",6,"LANGPORT, R PARRET",dorset_wilts_south_somerset_listing_06_1.jpg,1,39,285,265,,copied
"Dorset, Wilts & South Somerset",7,"MUCHELNEY ABBEY, R PARRETT",dorset_wilts_south_somerset_listing_07_1.jpg,1,39,285,265,,copied
"Dorset, Wilts & South Somerset",10,"WEST LYDFORD WEIRS, R BRUE",dorset_wilts_south_somerset_listing_10_1.jpg,1,38,284,393,,copied
"Dorset, Wilts & South Somerset",10,"WEST LYDFORD WEIRS, R BRUE",dorset_wilts_south_somerset_listing_10_2.jpg,2,39,577,546,,copied
"Dorset, Wilts & South Somerset",10,"WEST LYDFORD WEIRS, R BRUE",dorset_wilts_south_somerset_listing_10_3.jpg,3,39,284,263,,copied
"Dorset, Wilts & South Somerset",12,"NETHERBURY, R BRIT",dorset_wilts_south_somerset_listing_12_1.jpg,1,39,285,265,,copied
"Dorset, Wilts & South Somerset",16,"WOODSFORD, R FROME",dorset_wilts_south_somerset_listing_16_1.jpg,1,40,581,542,,copied
"Dorset, Wilts & South Somerset",19,"BOVINGTON, R FROME",dorset_wilts_south_somerset_listing_19_1.jpg,1,39,283,263,,copied
"Dorset, Wilts & South Somerset",21,"WAREHAM, R FROME",dorset_wilts_south_somerset_listing_21_1.jpg,1,40,285,263,,copied
"Dorset, Wilts & South Somerset",26,"COLBER BRIDGE, STURMINSTER",dorset_wilts_south_somerset_listing_26_1.jpg,1,38,284,204,,copied
"Dorset, Wilts & South Somerset",26,"COLBER BRIDGE, STURMINSTER",dorset_wilts_south_somerset_listing_26_2.jpg,2,40,284,263,,copied
"Dorset, Wilts & South Somerset",26,"COLBER BRIDGE, STURMINSTER",dorset_wilts_south_somerset_listing_26_3.jpg,3,40,581,542,,copied
"Dorset, Wilts & South Somerset",28,"HAMMOON, R STOUR",dorset_wilts_south_somerset_listing_28_1.jpg,1,40,284,263,,copied
"Dorset, Wilts & South Somerset",28,"HAMMOON, R STOUR",dorset_wilts_south_somerset_listing_28_2.jpg,2,41,874,546,,copied
"Dorset, Wilts & South Somerset",30,"WHITE MILL, STURMINSTER MARSHALL",dorset_wilts_south_somerset_listing_30_1.jpg,1,41,284,263,,copied
"Dorset, Wilts & South Somerset",31,"PAMPHILL, WIMBORNE MINSTER",dorset_wilts_south_somerset_listing_31_1.jpg,1,36,1933,1196,,copied
"Dorset, Wilts & South Somerset",31,"PAMPHILL, WIMBORNE MINSTER",dorset_wilts_south_somerset_listing_31_2.jpg,2,41,280,267,,copied
"Dorset, Wilts & South Somerset",33,"LONGBRIDGE DEVERILL, R WYLYE",dorset_wilts_south_somerset_listing_33_1.jpg,1,41,285,262,,copied
"Dorset, Wilts & South Somerset",34,"HEYTESBURY MILL, R WYLYE",dorset_wilts_south_somerset_listing_34_1.jpg,1,41,874,547,,copied
"Dorset, Wilts & South Somerset",35,"TISBURY & FONTHILL, R NADDER",dorset_wilts_south_somerset_listing_35_1.jpg,1,38,284,209,,copied
"Dorset, Wilts & South Somerset",36,"STEEPLE LANGFORD, R WYLYE",dorset_wilts_south_somerset_listing_36_1.jpg,1,42,874,547,,copied
"Dorset, Wilts & South Somerset",38,FIGHELDEAN & FIFIELD,dorset_wilts_south_somerset_listing_38_1.jpg,1,38,284,209,,copied
"Dorset, Wilts & South Somerset",38,FIGHELDEAN & FIFIELD,dorset_wilts_south_somerset_listing_38_2.jpg,2,38,280,209,,copied
"Dorset, Wilts & South Somerset",39,"HAM HATCHES, AMESBURY",dorset_wilts_south_somerset_listing_39_1.jpg,1,42,284,267,,copied
"Dorset, Wilts & South Somerset",40,"STRATFORD BRIDGE, SALISBURY",dorset_wilts_south_somerset_listing_40_1.jpg,1,42,285,263,,copied
"Dorset, Wilts & South Somerset",41,"OLD MILL, R NADDER",dorset_wilts_south_somerset_listing_41_1.jpg,1,42,285,263,,copied
"Dorset, Wilts & South Somerset",42,CHARLTON ALL SAINTS,dorset_wilts_south_somerset_listing_42_1.jpg,1,42,582,542,,copied
"Dorset, Wilts & South Somerset",43,"DOWNTON & THE MOOT, R AVON",dorset_wilts_south_somerset_listing_43_1.jpg,1,42,285,263,,copied
"Dorset, Wilts & South Somerset",46,"FORDINGBRIDGE, R AVON",dorset_wilts_south_somerset_listing_46_1.jpg,1,42,285,263,,copied
East Anglia,4,"BRAMPTON, R GREAT OUSE",east_anglia_listing_04_1.jpg,1,73,581,542,,copied
East Anglia,5,"HOUGHTON MILL, R GREAT OUSE",east_anglia_listing_05_1.jpg,1,73,284,263,,copied
East Anglia,8,"UPPER CUTS, SETCHEL FEN",east_anglia_listing_08_1.jpg,1,73,280,267,,copied
East Anglia,9,"LITTLE THETFORD, OUSE VALLEY WAY",east_anglia_listing_09_1.jpg,1,73,285,263,,copied
East Anglia,11,"GRANTCHESTER MEADOWS, R CAM",east_anglia_listing_11_1.jpg,1,72,280,209,,copied
East Anglia,11,"GRANTCHESTER MEADOWS, R CAM",east_anglia_listing_11_2.jpg,2,72,280,209,,copied
East Anglia,11,"GRANTCHESTER MEADOWS, R CAM",east_anglia_listing_11_3.jpg,3,72,280,209,,copied
East Anglia,11,"GRANTCHESTER MEADOWS, R CAM",east_anglia_listing_11_4.jpg,4,73,874,546,,copied
East Anglia,14,"BLOCK FEN, MEPAL",east_anglia_listing_14_1.jpg,1,74,284,263,,copied
East Anglia,16,"BAWSEY COUNTRY PARK, KING’S LYNN",east_anglia_listing_16_1.jpg,1,74,284,265,,copied
East Anglia,18,"JUDE'S FERRY, R LARK",east_anglia_listing_18_1.jpg,1,74,581,542,,copied
East Anglia,22,"LAKENHEATH FEN, R LITTLE OUSE",east_anglia_listing_22_1.jpg,1,74,285,263,,copied
East Anglia,23,SANTON DOWNHAM & BRANDON LOCK,east_anglia_listing_23_1.jpg,1,74,874,546,,copied
East Anglia,27,"RINGLAND RIVER GREEN, R WENSUM",east_anglia_listing_27_1.jpg,1,74,285,263,,copied
East Anglia,31,"ROCKLAND BROAD, R YARE",east_anglia_listing_31_1.jpg,1,75,284,263,,copied
East Anglia,33,BURGH NEXT AYLSHAM & OXNEAD,east_anglia_listing_33_1.jpg,1,75,581,542,,copied
East Anglia,36,"COLTISHALL RISING SUN, R BURE",east_anglia_listing_36_1.jpg,1,75,874,546,,copied
East Anglia,39,"ST BENET'S ABBEY, R BURE",east_anglia_listing_39_1.jpg,1,75,285,263,,copied
East Anglia,41,"HOW HILL, RIVER ANT",east_anglia_listing_41_1.jpg,1,76,284,265,,copied
East Anglia,42,"WEAVER’S WAY, R THURNE",east_anglia_listing_42_1.jpg,1,76,581,542,,copied
East Anglia,44,"MENDHAM, R WAVENEY",east_anglia_listing_44_1.jpg,1,72,284,205,,copied
East Anglia,44,"MENDHAM, R WAVENEY",east_anglia_listing_44_2.jpg,2,76,285,263,,copied
East Anglia,45,"HOMERSFIELD, R WAVENEY",east_anglia_listing_45_1.jpg,1,72,284,205,,copied
East Anglia,45,"HOMERSFIELD, R WAVENEY",east_anglia_listing_45_2.jpg,2,76,285,265,,copied
East Anglia,47,"OUTNEY COMMON, R WAVENEY",east_anglia_listing_47_1.jpg,1,72,284,205,,copied
East Anglia,47,"OUTNEY COMMON, R WAVENEY",east_anglia_listing_47_2.jpg,2,76,878,546,,copied
East Anglia,49,"WAINFORD WEIR, R WAVENEY",east_anglia_listing_49_1.jpg,1,70,1933,1195,,copied
East Anglia,49,"WAINFORD WEIR, R WAVENEY",east_anglia_listing_49_2.jpg,2,76,284,267,,copied
Exmoor & North Devon,1,"CULLEVER STEPS, EAST OKEMENT",exmoor_north_devon_listing_01_1.jpg,1,32,284,204,,copied
Exmoor & North Devon,1,"CULLEVER STEPS, EAST OKEMENT",exmoor_north_devon_listing_01_2.jpg,2,33,284,263,,copied
